image_url,name,prices,stores,url
https://s.ek.ua/jpg/2117493.jpg,Logitech G435,"2079грн.,4299грн.,4299грн.,4299грн.,4299грн.,4299грн.,2249грн.","Avic.ua,АЛЛО,FOXTROT.UA,Vodafone.ua,Ktc.ua,Fragstore.ua,Manzana.ua",https://ek.ua//ua/LOGITECH-G435.htm
https://s.ek.ua/jpg/2272446.jpg,Apple AirPods Pro 2nd generation,"9199грн.,11499грн.,11499грн.,11499грн.,11499грн.,9990грн.,9713грн.","Avic.ua,АЛЛО,Moyo.ua,Vodafone.ua,Ktc.ua,Platforma-ukraine.com.ua,Buy.ua",https://ek.ua//ua/APPLE-AIRPODS-PRO-2ND-GENERATION.htm
https://s.ek.ua/jpg/1620421.jpg,Apple AirPods 2 with Charging Case,"5053грн.,5499грн.,5499грн.,5499грн.,5499грн.,5499грн.,4980грн.","Avic.ua,АЛЛО,Moyo.ua,FOXTROT.UA,Vodafone.ua,Ktc.ua,Platforma-ukraine.com.ua",https://ek.ua//ua/APPLE-AIRPODS-2-WITH-CHARGING-CASE.htm
https://s.ek.ua/jpg/2131143.jpg,Xiaomi Redmi Buds 3 Lite,"791грн.,699грн.,699грн.,699грн.,750грн.,744грн.,790грн.","Avic.ua,АЛЛО,Vodafone.ua,Ktc.ua,Stylus.ua,Цифра,Tehno-mart.com.ua",https://ek.ua//ua/XIAOMI-REDMI-BUDS-3-LITE.htm
https://s.ek.ua/jpg/1881767.jpg,Marshall Major IV,"5738грн.,6499грн.,5662грн.,6499грн.,6499грн.,5349грн.,6499грн.","Avic.ua,АЛЛО,Smartmag.biz.ua,Vodafone.ua,Ktc.ua,Manzana.ua,Portativ.ua",https://ek.ua//ua/MARSHALL-MAJOR-IV.htm
https://s.ek.ua/jpg/2110896.jpg,Apple AirPods 3 with Charging Case,"6949грн.,8499грн.,8499грн.,6752грн.,8499грн.,8499грн.,8499грн.","Avic.ua,АЛЛО,Moyo.ua,Smartmag.biz.ua,FOXTROT.UA,Vodafone.ua,Ktc.ua",https://ek.ua//ua/APPLE-AIRPODS-3-WITH-CHARGING-CASE.htm
https://s.ek.ua/jpg/2259737.jpg,Xiaomi Redmi Buds 4 Pro,"2611грн.,2552грн.,2570грн.,2672грн.,2495грн.,3190грн.,2558грн.","Avic.ua,Smartmag.biz.ua,Stylus.ua,Цифра,Tehnoezh.ua,Tehno-mart.com.ua,Tehnopostavka.com.ua",https://ek.ua//ua/XIAOMI-REDMI-BUDS-4-PRO.htm
https://s.ek.ua/jpg/1193298.jpg,HyperX Cloud Alpha,"2767грн.,3899грн.,3899грн.,3899грн.,4599грн.,3985грн.,4083грн.","Avic.ua,АЛЛО,Moyo.ua,FOXTROT.UA,Ktc.ua,Tehnoezh.ua,Stylus.ua",https://ek.ua//ua/HYPERX-CLOUD-ALPHA.htm
https://s.ek.ua/jpg/2141747.jpg,JBL Tune 230NC,"2568грн.,2799грн.,2660грн.,2799грн.,2799грн.,2799грн.,2799грн.","Avic.ua,АЛЛО,Smartmag.biz.ua,FOXTROT.UA,Vodafone.ua,Ktc.ua,Papus.com.ua",https://ek.ua//ua/JBL-TUNE-230NC.htm
https://s.ek.ua/jpg/2075741.jpg,Logitech G335,"1989грн.,3499грн.,3499грн.,3499грн.,3499грн.,3499грн.,3355грн.","Avic.ua,АЛЛО,FOXTROT.UA,Vodafone.ua,Ktc.ua,Fragstore.ua,Pro100market.com.ua",https://ek.ua//ua/LOGITECH-G335.htm
https://s.ek.ua/jpg/2378218.jpg,Huawei FreeBuds 5i,"2940грн.,2999грн.,2999грн.,2999грн.,2999грн.,2999грн.,2999грн.","Avic.ua,АЛЛО,FOXTROT.UA,Vodafone.ua,Ktc.ua,Portativ.ua,TTT.ua",https://ek.ua//ua/HUAWEI-FREEBUDS-5I.htm
https://s.ek.ua/jpg/237960.jpg,Apple EarPods with Remote and Mic,"999грн.,999грн.,999грн.,1463грн.,750грн.,869грн.,849грн.","АЛЛО,Vodafone.ua,Ktc.ua,Buy.ua,ipodrom.ua,Stylus.ua,Цифра",https://ek.ua//ua/APPLE-EARPODS-WITH-REMOTE-AND-MIC.htm
https://s.ek.ua/jpg/1848464.jpg,Sony WH-1000XM4,"11979грн.,11417грн.,9895грн.,13195грн.,11743грн.,11635грн.,11099грн.","Avic.ua,Smartmag.biz.ua,Foxel.com.ua,Tehnoezh.ua,Stylus.ua,Цифра,Touch",https://ek.ua//ua/SONY-WH-1000XM4.htm
https://s.ek.ua/jpg/1992929.jpg,JBL Tune 510BT,"1578грн.,1599грн.,1599грн.,1599грн.,1599грн.,1599грн.,1599грн.","Avic.ua,АЛЛО,FOXTROT.UA,Vodafone.ua,Ktc.ua,Papus.com.ua,Portativ.ua",https://ek.ua//ua/JBL-TUNE-510BT.htm
https://s.ek.ua/jpg/2405959.jpg,JBL Tune 720BT,"2399грн.,2399грн.,2399грн.,2399грн.,2399грн.,2215грн.,2389грн.","АЛЛО,Vodafone.ua,Ktc.ua,Portativ.ua,Stylus.ua,Цифра,Touch",https://ek.ua//ua/JBL-TUNE-720BT.htm
https://s.ek.ua/jpg/1848815.jpg,Xiaomi Redmi AirDots 2,"589грн.,679грн.,639грн.,695грн.,990грн.,751грн.,589грн.","Avic.ua,АЛЛО,TTT.ua,Tehnoezh.ua,Pocketstore.ua,Tehnopostavka.com.ua,Touch",https://ek.ua//ua/XIAOMI-REDMI-AIRDOTS-2.htm
https://s.ek.ua/jpg/2072700.jpg,Samsung Galaxy Buds2,"4341грн.,4499грн.,4499грн.,4499грн.,5199грн.,4655грн.,4499грн.","Avic.ua,АЛЛО,Moyo.ua,FOXTROT.UA,Vodafone.ua,Pro100market.com.ua,TTT.ua",https://ek.ua//ua/SAMSUNG-GALAXY-BUDS2.htm
https://s.ek.ua/jpg/1904353.jpg,Logitech G733,"5300грн.,6699грн.,4910грн.,6699грн.,6699грн.,6699грн.,6699грн.","Avic.ua,АЛЛО,Smartmag.biz.ua,FOXTROT.UA,Vodafone.ua,Ktc.ua,Fragstore.ua",https://ek.ua//ua/LOGITECH-G733.htm
https://s.ek.ua/jpg/1634290.jpg,Logitech G Pro X,"4169грн.,5999грн.,5999грн.,5999грн.,5999грн.,5999грн.,5999грн.","Avic.ua,АЛЛО,FOXTROT.UA,Vodafone.ua,Ktc.ua,Fragstore.ua,TTT.ua",https://ek.ua//ua/LOGITECH-G-PRO-X.htm
https://s.ek.ua/jpg/2415217.jpg,Xiaomi Redmi Buds 4 Lite,"829грн.,885грн.,832грн.,1290грн.,999грн.,969грн.,839грн.","Avic.ua,Stylus.ua,Цифра,Tehno-mart.com.ua,Tehnopostavka.com.ua,Touch,Felex.ua",https://ek.ua//ua/XIAOMI-REDMI-BUDS-4-LITE.htm
https://s.ek.ua/jpg/2352897.jpg,OnePlus Buds Pro 2,"5491грн.,9888грн.,5495грн.,8486грн.,8558грн.,8505грн.,9988грн.","Tviy-Dim.com,Click24.in.ua,Justbuy.com.ua,Redprice.prom.ua,Fragment.com.ua,Ibelieve.com.ua,Ebox24.biz",https://ek.ua//ua/ONEPLUS-BUDS-PRO-2.htm
https://s.ek.ua/jpg/2259309.jpg,Samsung Galaxy Buds2 Pro,"6373грн.,6999грн.,6999грн.,6999грн.,6999грн.,6999грн.,6465грн.","Avic.ua,АЛЛО,Moyo.ua,FOXTROT.UA,Vodafone.ua,Ktc.ua,Pro100market.com.ua",https://ek.ua//ua/SAMSUNG-GALAXY-BUDS2-PRO.htm
https://s.ek.ua/jpg/2206978.jpg,Sony WH-1000XM5,"14852грн.,15999грн.,14999грн.,14999грн.,12499грн.,14627грн.,14493грн.","Avic.ua,Moyo.ua,FOXTROT.UA,Vodafone.ua,Foxel.com.ua,Stylus.ua,Цифра",https://ek.ua//ua/SONY-WH-1000XM5.htm
https://s.ek.ua/jpg/1924984.jpg,Apple AirPods Max,"24064грн.,26999грн.,22153грн.,26999грн.,26999грн.,24130грн.,23963грн.","Avic.ua,АЛЛО,Smartmag.biz.ua,FOXTROT.UA,Ktc.ua,Platforma-ukraine.com.ua,Buy.ua",https://ek.ua//ua/APPLE-AIRPODS-MAX.htm
